time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-30T02:38:51.193Z,36.9361,27.251,10,2.8,ml,,47,1.005,0.9,us,us70005a3q,2019-11-15T17:20:22.040Z,"5km NW of Kos, Greece",earthquake,4.1,1.4,0.091,16,reviewed,us,us
2019-08-29T23:33:04.261Z,37.2757,71.5541,108.92,4.3,mb,,74,0.267,0.59,us,us700059yv,2019-11-15T17:20:21.040Z,"23km S of Khorugh, Tajikistan",earthquake,6,5.5,0.116,21,reviewed,us,us
2019-08-29T02:24:46.391Z,35.6339,70.0143,28.11,4.5,mb,,91,1.35,0.96,us,us700059gf,2019-11-15T17:19:51.040Z,"57km NE of Bazarak, Afghanistan",earthquake,4.9,6.5,0.104,27,reviewed,us,us
2019-08-29T00:50:11.537Z,51.6276,16.1894,5,4.1,mb,,84,2.018,0.85,us,us700059f0,2019-11-15T17:19:46.040Z,"3km NNE of Grebocice, Poland",earthquake,5.8,1.9,0.165,10,reviewed,us,us
2019-08-28T22:45:00.868Z,30.8691,50.1244,10,4,mb,,74,2.745,0.69,us,us70005bjg,2019-11-15T17:19:42.040Z,"32km NNW of Behbahan, Iran",earthquake,5.3,1.9,0.126,17,reviewed,us,us
2019-08-28T19:35:00.502Z,31.263,66.6489,10,4,mb,,150,3.839,0.75,us,us700059ab,2019-11-15T17:19:33.040Z,"42km NNE of Chaman, Pakistan",earthquake,10,2,0.196,7,reviewed,us,us
2019-08-28T15:31:46.798Z,35.6955,27.7097,17.79,4.2,mb,,100,0.47,0.91,us,us7000595w,2019-11-15T17:19:20.040Z,"49km ENE of Karpathos, Greece",earthquake,3.2,4.3,0.142,14,reviewed,us,us
2019-08-28T15:08:49.664Z,35.6803,27.721,12.81,4,mb,,100,0.475,1.05,us,us7000595p,2019-11-15T17:19:19.040Z,"49km ENE of Karpathos, Greece",earthquake,3.6,6.1,0.196,7,reviewed,us,us
2019-08-28T11:58:18.490Z,35.6836,27.636,10,4.9,mww,,42,0.41,1.03,us,us7000594r,2019-11-15T17:19:15.040Z,"43km ENE of Karpathos, Greece",earthquake,5.6,1.8,0.08,15,reviewed,us,us
2019-08-28T04:19:01.793Z,36.5601,70.7369,183.6,4.5,mb,,70,1.217,0.71,us,us70005913,2019-11-15T17:19:05.040Z,"34km SSW of Jarm, Afghanistan",earthquake,6.8,7.1,0.071,58,reviewed,us,us
2019-08-27T20:05:30.346Z,27.946,56.6744,10,4.2,mb,,76,3.018,0.78,us,us700058wf,2019-11-15T17:18:57.040Z,"92km NNE of Bandar 'Abbas, Iran",earthquake,7.4,1.9,0.103,32,reviewed,us,us
2019-08-27T11:30:09.328Z,36.4786,70.6641,200.07,4.3,mb,,73,1.317,0.97,us,us700058q6,2019-11-15T17:18:48.040Z,"45km SSW of Jarm, Afghanistan",earthquake,6.7,6,0.106,25,reviewed,us,us
2019-08-27T09:57:51.030Z,28.9012,86.4476,10,4.5,mb,,88,0.992,1.18,us,us70005bgh,2019-11-15T17:18:47.040Z,"68km WNW of Xegar, China",earthquake,4.3,1.9,0.094,33,reviewed,us,us
2019-08-27T06:24:40.425Z,38.1446,23.6357,10,4.5,mb,,64,1.665,1.18,us,us700058nq,2019-11-15T17:18:45.040Z,"5km NNW of Fili, Greece",earthquake,6,1.9,0.204,7,reviewed,us,us
2019-08-27T04:31:21.505Z,35.6238,27.6984,10,4.4,mb,,47,0.444,0.88,us,us700058n0,2019-11-15T17:18:42.040Z,"45km ENE of Karpathos, Greece",earthquake,5,1.9,0.078,47,reviewed,us,us
2019-08-26T23:30:39.128Z,37.5445,72.2579,215.46,4.2,mb,,130,0.475,0.63,us,us700058l2,2019-11-08T22:13:50.040Z,"49km NE of Roshtqal'a, Tajikistan",earthquake,6.4,14,0.305,3,reviewed,us,us
